design,model,seed,single_run,accuracy,precision,recall,f1,macro_f1,auc,avg_prec,fpr,TN,FP,FN,TP
A,Structural only (RF),44,False,0.9362150235683482,0.9392760287701922,0.9132179296113723,0.926063706114857,0.9349895250151005,0.9803031241413728,0.9792719272659884,0.045904269542739996,10704,515,757,7966
A,Structural only (RF),45,False,0.9358640056162872,0.9393295561850803,0.9123008139401582,0.9256179121837743,0.9346234917699691,0.980254454229371,0.9792513917009693,0.04581513503877351,10705,514,765,7958
A,Structural only (RF),46,False,0.9369170594724702,0.9409332545776727,0.9131032901524705,0.9268094019083081,0.9356905663048767,0.9802981886873527,0.979417311197121,0.04456725198324271,10719,500,758,7965
A,"SVM (TF-IDF, linear)",42,False,0.9874636445692508,0.9827920227920228,0.9886506935687264,0.9857126528746143,0.9872724793900455,0.9985579584313582,0.9979071241929734,0.0134593100989393,11068,151,99,8624
A,"SVM (TF-IDF, linear)",43,False,0.9874636445692508,0.9827920227920228,0.9886506935687264,0.9857126528746143,0.9872724793900455,0.9985579584313582,0.9979071241929734,0.0134593100989393,11068,151,99,8624
A,"SVM (TF-IDF, linear)",44,False,0.9874636445692508,0.9827920227920228,0.9886506935687264,0.9857126528746143,0.9872724793900455,0.9985579584313582,0.9979071241929734,0.0134593100989393,11068,151,99,8624
A,"SVM (TF-IDF, linear)",45,False,0.9874636445692508,0.9827920227920228,0.9886506935687264,0.9857126528746143,0.9872724793900455,0.9985579584313582,0.9979071241929734,0.0134593100989393,11068,151,99,8624
A,"SVM (TF-IDF, linear)",46,False,0.9874636445692508,0.9827920227920228,0.9886506935687264,0.9857126528746143,0.9872724793900455,0.9985579584313582,0.9979071241929734,0.0134593100989393,11068,151,99,8624
A,Naive Bayes (TF-IDF),42,True,0.9668538762410992,0.9831016299137104,0.940387481371088,0.9612702876896936,0.9661503298903391,0.9946205645940728,0.9933655156997764,0.012567965059274445,11078,141,520,8203
A,Naive Bayes (TF-IDF),43,True,0.9668538762410992,0.9831016299137104,0.940387481371088,0.9612702876896936,0.9661503298903391,0.9946205645940728,0.9933655156997764,0.012567965059274445,11078,141,520,8203
A,Naive Bayes (TF-IDF),44,True,0.9668538762410992,0.9831016299137104,0.940387481371088,0.9612702876896936,0.9661503298903391,0.9946205645940728,0.9933655156997764,0.012567965059274445,11078,141,520,8203
A,Naive Bayes (TF-IDF),45,True,0.9668538762410992,0.9831016299137104,0.940387481371088,0.9612702876896936,0.9661503298903391,0.9946205645940728,0.9933655156997764,0.012567965059274445,11078,141,520,8203
A,Naive Bayes (TF-IDF),46,True,0.9668538762410992,0.9831016299137104,0.940387481371088,0.9612702876896936,0.9661503298903391,0.9946205645940728,0.9933655156997764,0.012567965059274445,11078,141,520,8203
A,Lexical only (TF-IDF + LR),42,True,0.9821983752883362,0.9767547857793983,0.9826894417058352,0.9797131264643694,0.9819271462118586,0.9978428489516966,0.9972253225395259,0.018183438809163028,11015,204,151,8572
A,Lexical only (TF-IDF + LR),43,True,0.9821983752883362,0.9767547857793983,0.9826894417058352,0.9797131264643694,0.9819271462118586,0.9978428489516966,0.9972253225395259,0.018183438809163028,11015,204,151,8572
A,Lexical only (TF-IDF + LR),44,True,0.9821983752883362,0.9767547857793983,0.9826894417058352,0.9797131264643694,0.9819271462118586,0.9978428489516966,0.9972253225395259,0.018183438809163028,11015,204,151,8572
A,Lexical only (TF-IDF + LR),45,True,0.9821983752883362,0.9767547857793983,0.9826894417058352,0.9797131264643694,0.9819271462118586,0.9978428489516966,0.9972253225395259,0.018183438809163028,11015,204,151,8572
A,Lexical only (TF-IDF + LR),46,True,0.9821983752883362,0.9767547857793983,0.9826894417058352,0.9797131264643694,0.9819271462118586,0.9978428489516966,0.9972253225395259,0.018183438809163028,11015,204,151,8572
A,Structural + lexical (LR),42,True,0.9826998295055661,0.9775421796625627,0.9830333600825404,0.9802800800228637,0.9824353636078408,0.9979798205736639,0.9972428097962568,0.017559497281397628,11022,197,148,8575
A,Structural + lexical (LR),43,True,0.9826998295055661,0.9775421796625627,0.9830333600825404,0.9802800800228637,0.9824353636078408,0.9979798205736639,0.9972428097962568,0.017559497281397628,11022,197,148,8575
A,Structural + lexical (LR),44,True,0.9826998295055661,0.9775421796625627,0.9830333600825404,0.9802800800228637,0.9824353636078408,0.9979798205736639,0.9972428097962568,0.017559497281397628,11022,197,148,8575
A,Structural + lexical (LR),45,True,0.9826998295055661,0.9775421796625627,0.9830333600825404,0.9802800800228637,0.9824353636078408,0.9979798205736639,0.9972428097962568,0.017559497281397628,11022,197,148,8575
A,Structural + lexical (LR),46,True,0.9826998295055661,0.9775421796625627,0.9830333600825404,0.9802800800228637,0.9824353636078408,0.9979798205736639,0.9972428097962568,0.017559497281397628,11022,197,148,8575
A,"CNN (word-embedding, from scratch)",42,True,0.9796409587804633,0.9831532473568027,0.9700791012266422,0.9765724177726486,0.97928558815386,0.9982326834001174,0.9978233012484164,0.012924503075140387,11074,145,261,8462
A,"CNN (word-embedding, from scratch)",43,True,0.9796409587804633,0.9831532473568027,0.9700791012266422,0.9765724177726486,0.97928558815386,0.9982326834001174,0.9978233012484164,0.012924503075140387,11074,145,261,8462
A,"CNN (word-embedding, from scratch)",44,True,0.9796409587804633,0.9831532473568027,0.9700791012266422,0.9765724177726486,0.97928558815386,0.9982326834001174,0.9978233012484164,0.012924503075140387,11074,145,261,8462
A,"CNN (word-embedding, from scratch)",45,True,0.9796409587804633,0.9831532473568027,0.9700791012266422,0.9765724177726486,0.97928558815386,0.9982326834001174,0.9978233012484164,0.012924503075140387,11074,145,261,8462
A,"CNN (word-embedding, from scratch)",46,True,0.9796409587804633,0.9831532473568027,0.9700791012266422,0.9765724177726486,0.97928558815386,0.9982326834001174,0.9978233012484164,0.012924503075140387,11074,145,261,8462
A,DistilBERT (text-only),42,True,0.9898204793902317,0.9853041695146958,0.9915166800412702,0.9884006628192674,0.9896656399026864,0.9992757553321525,0.9990693663748708,0.01149835101167662,11090,129,74,8649
A,DistilBERT (text-only),43,True,0.9898204793902317,0.9853041695146958,0.9915166800412702,0.9884006628192674,0.9896656399026864,0.9992757553321525,0.9990693663748708,0.01149835101167662,11090,129,74,8649
A,DistilBERT (text-only),44,True,0.9898204793902317,0.9853041695146958,0.9915166800412702,0.9884006628192674,0.9896656399026864,0.9992757553321525,0.9990693663748708,0.01149835101167662,11090,129,74,8649
A,DistilBERT (text-only),45,True,0.9898204793902317,0.9853041695146958,0.9915166800412702,0.9884006628192674,0.9896656399026864,0.9992757553321525,0.9990693663748708,0.01149835101167662,11090,129,74,8649
A,DistilBERT (text-only),46,True,0.9898204793902317,0.9853041695146958,0.9915166800412702,0.9884006628192674,0.9896656399026864,0.9992757553321525,0.9990693663748708,0.01149835101167662,11090,129,74,8649
B,DistilBERT embeddings + MLP (no structural),42,False,0.9530512249443207,0.9855427591276648,0.8957683741648107,0.938513592346284,0.9502712784845477,0.994626779298383,0.9914603277218148,0.008760207869339273,6676,59,468,4022
B,DistilBERT embeddings + MLP (no structural),43,False,0.9639198218262807,0.9850391830919022,0.9238307349665924,0.9534536260199977,0.961998469130444,0.9955084217505535,0.992420704994458,0.009354120267260579,6672,63,342,4148
B,DistilBERT embeddings + MLP (no structural),44,False,0.9502895322939866,0.9859120118635689,0.8884187082405345,0.9346298031865042,0.94726315515082,0.9948611862044334,0.9912244614776072,0.008463251670378619,6678,57,501,3989
B,DistilBERT embeddings + MLP (no structural),45,False,0.9549220489977728,0.9849074975657254,0.9011135857461025,0.9411491044428937,0.9523100416814526,0.9947013986372422,0.9910874988263865,0.009205642167780253,6673,62,444,4046
B,DistilBERT embeddings + MLP (no structural),46,False,0.9544766146993319,0.9870257037943696,0.8979955456570156,0.9404081632653061,0.9517896672182387,0.9954380517292408,0.9922514777572986,0.007869339272457313,6682,53,458,4032
B,DistilBERT + Structural (Fusion),42,False,0.9579510022271714,0.9878581835842642,0.9060133630289532,0.9451672862453532,0.9555340838104385,0.9946729265562505,0.9920375907862358,0.007423904974016332,6685,50,422,4068
B,DistilBERT + Structural (Fusion),43,False,0.9683741648106904,0.9849870982875909,0.9351893095768374,0.9594424768650748,0.9667621963065244,0.9953263790027497,0.9926130469840657,0.009502598366740906,6671,64,291,4199
B,DistilBERT + Structural (Fusion),44,False,0.9637416481069042,0.9868829000715478,0.9216035634743875,0.9531267994932627,0.9617816753331789,0.9869099359626192,0.9864588940728927,0.008166295471417966,6680,55,352,4138
B,DistilBERT + Structural (Fusion),45,False,0.9670378619153674,0.9847058823529412,0.9320712694877505,0.9576659038901602,0.9653391517992012,0.9947763982652202,0.9924130840878336,0.009651076466221232,6670,65,305,4185
B,DistilBERT + Structural (Fusion),46,False,0.9615144766146994,0.987974987974988,0.9149220489977729,0.9500462534690102,0.9593732209237531,0.9955636463443468,0.9931464329064044,0.007423904974016332,6685,50,382,4108
B,Structural only (RF),42,False,0.9364810690423162,0.9326460481099657,0.9066815144766147,0.9194805194805195,0.9335173836828856,0.9742982921711697,0.9615154520278749,0.04365256124721604,6441,294,419,4071
B,Structural only (RF),43,False,0.9362138084632516,0.9325997248968363,0.9060133630289532,0.9191143244464528,0.933229761134831,0.9748483721145563,0.9626377121038897,0.04365256124721604,6441,294,422,4068
B,Structural only (RF),44,False,0.9360356347438753,0.9313815187557182,0.9069042316258352,0.9189799142405778,0.9330695862047752,0.9745410654378368,0.960837583204742,0.044543429844097995,6435,300,418,4072
B,Structural only (RF),45,False,0.9346993318485524,0.9303550973654067,0.9044543429844099,0.9172219085262564,0.9316525136599653,0.9740129265231819,0.9608565676934269,0.045137342242019304,6431,304,429,4061
B,Structural only (RF),46,False,0.9363919821826281,0.9326306141154904,0.9064587973273942,0.9193584820420149,0.9334215181613428,0.9748396089305112,0.961714843907904,0.04365256124721604,6441,294,420,4070
B,"SVM (TF-IDF, linear)",42,False,0.9387973273942094,0.9790879314688838,0.865478841870824,0.918784726326989,0.9348408657723144,0.9910491350075974,0.9842209673428015,0.012323682256867112,6652,83,604,3886
B,"SVM (TF-IDF, linear)",43,False,0.9387973273942094,0.9790879314688838,0.865478841870824,0.918784726326989,0.9348408657723144,0.9910491350075974,0.9842209673428015,0.012323682256867112,6652,83,604,3886
B,"SVM (TF-IDF, linear)",44,False,0.9387973273942094,0.9790879314688838,0.865478841870824,0.918784726326989,0.9348408657723144,0.9910491350075974,0.9842209673428015,0.012323682256867112,6652,83,604,3886
B,"SVM (TF-IDF, linear)",45,False,0.9387973273942094,0.9790879314688838,0.865478841870824,0.918784726326989,0.9348408657723144,0.9910491350075974,0.9842209673428015,0.012323682256867112,6652,83,604,3886
B,"SVM (TF-IDF, linear)",46,False,0.9387973273942094,0.9790879314688838,0.865478841870824,0.918784726326989,0.9348408657723144,0.9910491350075974,0.9842209673428015,0.012323682256867112,6652,83,604,3886
B,Naive Bayes (TF-IDF),42,True,0.9026280623608017,0.9780467210807768,0.7739420935412027,0.8641054332960338,0.894119767387241,0.9861533755619598,0.9787213696942256,0.011581291759465479,6657,78,1015,3475
B,Naive Bayes (TF-IDF),43,True,0.9026280623608017,0.9780467210807768,0.7739420935412027,0.8641054332960338,0.894119767387241,0.9861533755619598,0.9787213696942256,0.011581291759465479,6657,78,1015,3475
B,Naive Bayes (TF-IDF),44,True,0.9026280623608017,0.9780467210807768,0.7739420935412027,0.8641054332960338,0.894119767387241,0.9861533755619598,0.9787213696942256,0.011581291759465479,6657,78,1015,3475
