threshold,precision,recall,f1,fpr
0.41,0.9879793932455638,0.9893952421897392,0.9886868108262924,0.0093603744149766
0.42,0.9879793932455638,0.9893952421897392,0.9886868108262924,0.0093603744149766
0.43,0.9879793932455638,0.9893952421897392,0.9886868108262924,0.0093603744149766
0.44,0.9882622387632408,0.9893952421897392,0.9888284159266687,0.009137508357477156
0.45,0.9882622387632408,0.9893952421897392,0.9888284159266687,0.009137508357477156
0.46,0.9882622387632408,0.9893952421897392,0.9888284159266687,0.009137508357477156
0.47,0.9882622387632408,0.9893952421897392,0.9888284159266687,0.009137508357477156
0.48,0.9882622387632408,0.9893952421897392,0.9888284159266687,0.009137508357477156
0.49,0.9882622387632408,0.9893952421897392,0.9888284159266687,0.009137508357477156
0.5,0.9882622387632408,0.9893952421897392,0.9888284159266687,0.009137508357477156
0.51,0.9882622387632408,0.9893952421897392,0.9888284159266687,0.009137508357477156
0.52,0.9882622387632408,0.9893952421897392,0.9888284159266687,0.009137508357477156
0.53,0.9882622387632408,0.9893952421897392,0.9888284159266687,0.009137508357477156
0.54,0.9882622387632408,0.9893952421897392,0.9888284159266687,0.009137508357477156
0.55,0.9882622387632408,0.9893952421897392,0.9888284159266687,0.009137508357477156
0.56,0.9882588774341352,0.9891086271137862,0.9886835696891564,0.009137508357477156
0.57,0.9885386819484241,0.9888220120378332,0.9886803266943688,0.008914642299977713
0.58,0.9885386819484241,0.9888220120378332,0.9886803266943688,0.008914642299977713
0.59,0.9885386819484241,0.9888220120378332,0.9886803266943688,0.008914642299977713
0.6,0.9885386819484241,0.9888220120378332,0.9886803266943688,0.008914642299977713
0.61,0.9885386819484241,0.9888220120378332,0.9886803266943688,0.008914642299977713
0.62,0.9885386819484241,0.9888220120378332,0.9886803266943688,0.008914642299977713
0.63,0.9885386819484241,0.9888220120378332,0.9886803266943688,0.008914642299977713
0.64,0.9885386819484241,0.9888220120378332,0.9886803266943688,0.008914642299977713
0.65,0.9888220120378332,0.9888220120378332,0.9888220120378332,0.00869177624247827
0.66,0.9888220120378332,0.9888220120378332,0.9888220120378332,0.00869177624247827
0.67,0.9888220120378332,0.9888220120378332,0.9888220120378332,0.00869177624247827
0.68,0.9888188073394495,0.9885353969618802,0.9886770818403325,0.00869177624247827
0.69,0.9888188073394495,0.9885353969618802,0.9886770818403325,0.00869177624247827
0.7,0.9888188073394495,0.9885353969618802,0.9886770818403325,0.00869177624247827
0.71,0.9888188073394495,0.9885353969618802,0.9886770818403325,0.00869177624247827
0.72,0.9888188073394495,0.9885353969618802,0.9886770818403325,0.00869177624247827
0.73,0.9888188073394495,0.9885353969618802,0.9886770818403325,0.00869177624247827
0.74,0.9888156008029825,0.9882487818859272,0.988532110091743,0.00869177624247827
0.75,0.9888156008029825,0.9882487818859272,0.988532110091743,0.00869177624247827
0.76,0.9888156008029825,0.9882487818859272,0.988532110091743,0.00869177624247827
0.77,0.9888156008029825,0.9882487818859272,0.988532110091743,0.00869177624247827
0.78,0.9888156008029825,0.9882487818859272,0.988532110091743,0.00869177624247827
0.79,0.9888156008029825,0.9882487818859272,0.988532110091743,0.00869177624247827
0.8,0.9890992541594952,0.9882487818859272,0.988673835125448,0.008468910184978827
0.81,0.9890992541594952,0.9882487818859272,0.988673835125448,0.008468910184978827
0.82,0.9890992541594952,0.9882487818859272,0.988673835125448,0.008468910184978827
0.83,0.9890992541594952,0.9882487818859272,0.988673835125448,0.008468910184978827
0.84,0.9890992541594952,0.9882487818859272,0.988673835125448,0.008468910184978827
0.85,0.9890992541594952,0.9882487818859272,0.988673835125448,0.008468910184978827
0.86,0.9890961262553802,0.9879621668099742,0.9885288213363923,0.008468910184978827
0.87,0.9890961262553802,0.9879621668099742,0.9885288213363923,0.008468910184978827
0.88,0.9890961262553802,0.9879621668099742,0.9885288213363923,0.008468910184978827
0.89,0.9893800229621125,0.9879621668099742,0.9886705865481141,0.008246044127479386
0.9,0.9893800229621125,0.9879621668099742,0.9886705865481141,0.008246044127479386
0.91,0.9893800229621125,0.9879621668099742,0.9886705865481141,0.008246044127479386
0.92,0.9893800229621125,0.9879621668099742,0.9886705865481141,0.008246044127479386
0.93,0.9893800229621125,0.9879621668099742,0.9886705865481141,0.008246044127479386
0.94,0.9893769738730979,0.9876755517340212,0.9885255306942053,0.008246044127479386
0.95,0.9893769738730979,0.9876755517340212,0.9885255306942053,0.008246044127479386
0.96,0.9893769738730979,0.9876755517340212,0.9885255306942053,0.008246044127479386
0.97,0.9893769738730979,0.9876755517340212,0.9885255306942053,0.008246044127479386
0.98,0.9896551724137931,0.9871023215821152,0.9883770985794231,0.008023178069979943
